what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1356588232094
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356588234322
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356588234518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356588236389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588238223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588238834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588238845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588244794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356588250173
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1356588252903
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1356588255348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1356588256396
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356588261141
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356588262668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588270279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356588280140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588284795
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1356588285288
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356588285336
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356588285391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588287237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588288622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588288632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588290199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588290815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588300178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356588302640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1356588305587
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356588306316
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1356588307476
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356588308589
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1356588310851
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356588311318
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356588312493
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356588312626
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356588314877
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356588318511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588325059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588326640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588326658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588333466
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356588335634
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356588337830
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1356588339179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588340832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588343380
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356588343420
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1356588346698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1356588388372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588389570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356588669110
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356588670180
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1356588672056
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1356588674285
